# mesh name: cylMesh_1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,5254169.598903617,3265100978602.564,10
0,0,1,206242.1319346073,9840033120.861069,10
0,0,2,175543.4787250187,8075575965.292373,10
0,0,3,71485.4117197796,909114485.0243082,10
0,0,4,61980.49167213729,712847202.4619129,10
0,0,5,58743.7142894651,604418510.2973559,10
0,0,6,50693.8835920531,442479414.1237096,10
0,0,7,47398.31709598369,395446319.5373304,10
0,0,8,44315.19606739645,340524959.864498,10
0,0,9,42757.15262190148,336189120.2032541,10
0,0,10,39390.51067774393,261600839.601126,10
0,0,11,37979.07966970805,241097315.7177819,10
0,0,12,35596.91361062774,224091147.8393589,10
0,0,13,34309.54289546446,212081569.5254298,10
0,0,14,32448.08151416762,182974043.4225845,10
0,0,15,29053.68439084946,156453012.0925893,10
0,0,16,28266.89994070361,146912352.2319731,10
0,0,17,27668.63922678671,143973438.5785608,10
0,0,18,25623.68803955087,121060835.4683518,10
0,0,19,25163.09280058356,121075456.9866287,10
0,0,20,25430.20277192849,118795895.9246382,10
0,0,21,23400.55695871414,101456528.9773882,10
0,0,22,21406.07935251941,88903285.58293313,10
0,0,23,20759.48701516277,86478333.81906316,10
0,0,24,19067.80755044499,70112489.52212234,10
0,0,25,17625.01216338918,61015504.88844641,10
0,0,26,18530.7270707941,64031367.0197934,10
0,0,27,17534.23412187249,61583311.35748745,10
0,0,28,16141.41295073571,49436160.96948101,10
0,0,29,14938.4373612181,43364316.23521335,10
0,0,30,13808.1968399158,36984755.32250417,10
0,0,31,13458.23906155123,35180018.62782307,10
0,0,32,13370.47688791842,35049570.02417473,10
0,0,33,12738.14359967345,31728726.67379032,10
0,0,34,13666.40125205297,35475233.01587381,10
0,0,35,12950.21820214435,30399603.95432211,10
0,0,36,13183.32727319156,32338192.66224762,10
0,0,37,12690.09871987244,29153126.40616726,10
0,0,38,11052.18404145364,22562928.55273839,10
0,0,39,11014.97147681621,22219042.2164119,10
0,0,40,10184.76917154125,18865516.81623003,10
0,0,41,9972.233260149338,18646286.96134359,10
0,0,42,10161.4892611207,20213757.92859211,10
0,0,43,8814.991621812645,14678312.66524509,10
0,0,44,8802.295563181024,14359764.38186836,10
0,0,45,8930.842850285993,15842775.74612374,10
0,0,46,8754.730885986182,14670495.06350343,10
0,0,47,8083.925960032002,11348336.07590142,10
0,0,48,6871.84525121245,8107765.696358018,10
0,0,49,5992.214391857994,6802662.86224968,10
